CustomerID,Recency,Frequency,Monetary,AvgOrderValue,UniqueProducts,TotalQuantity
12346.0,326,1,77183.6,77183.6,1,74215
12347.0,2,7,4310.0,23.681318681318682,103,2458
12348.0,75,4,1797.24,57.97548387096774,22,2341
12349.0,19,1,1757.55,24.076027397260273,73,631
12350.0,310,1,334.4,19.670588235294115,17,197
12352.0,36,8,2506.04,29.482823529411764,59,536
12353.0,204,1,89.0,22.25,4,20
12354.0,232,1,1079.4,18.610344827586207,58,530
12355.0,214,1,459.4,35.33846153846154,13,240
12356.0,23,3,2811.43,47.65135593220339,53,1591
12357.0,33,1,6207.67,47.38679389312977,131,2708
12358.0,2,2,1168.06,61.47684210526315,13,248
12359.0,58,4,6310.03,25.755224489795918,214,1609
12360.0,52,3,2662.06,20.63612403100775,105,1165
12361.0,287,1,189.9,18.990000000000002,10,91
12362.0,3,10,5226.23,19.647481203007516,201,2229
12363.0,110,2,552.0,24.0,23,408
12364.0,8,4,1313.1,15.448235294117646,70,1506
12365.0,291,2,641.38,29.153636363636362,22,174
12367.0,4,1,168.9,15.354545454545455,11,173
12370.0,51,4,3541.94,21.33698795180723,143,2352
12371.0,45,2,1887.96,29.96761904761905,63,591
12372.0,72,3,1298.04,24.962307692307693,34,794
12373.0,311,1,364.6,26.042857142857144,14,197
12374.0,25,1,742.9300000000001,22.513030303030305,33,342
12375.0,11,2,457.5,26.91176470588235,14,178
12377.0,315,2,1628.12,21.144415584415583,72,944
12378.0,130,1,4008.62,18.30420091324201,219,2529
12379.0,82,2,852.24,21.306,39,407
12380.0,22,4,2724.81,26.200096153846154,77,1127
12381.0,5,5,1845.31,21.21045977011494,70,808
12383.0,185,5,1850.56,18.69252525252525,84,1532
12384.0,29,2,585.27,21.676666666666666,26,126
12386.0,338,2,401.9,40.19,10,354
12388.0,16,6,2780.66,27.8066,57,1462
12390.0,80,1,549.84,17.1825,32,353
12391.0,22,1,439.66,4.72752688172043,92,293
12393.0,72,4,1582.6000000000001,24.728125000000002,47,816
12394.0,64,2,1272.48,47.12888888888889,26,819
12395.0,19,12,3018.63,19.350192307692307,91,2118
12397.0,36,2,2409.9,19.126190476190477,110,1263
12398.0,46,1,1635.6599999999999,19.24305882352941,85,1394
